participant_id,session_label,session_start_utc,random_seed,mapping_version,sequence_index,total_planned_trials,condition_index,repetition,eye_presentation,angular_diameter_deg,grid_line_spacing_deg,grid_line_spacing_uv,visual_space_l,content_zoom,oomes_endpoint_equivalent,stimulus_duration_s,noise_until_response,response_timeout_s,category_a_key,category_b_key,response_keys_swapped
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,57,105,3,11,BothEyes,60,8,0.24342386624268122,0.800000012,1,0.39999997615814209,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,58,105,3,5,BothEyes,60,8,0.24342386624268122,0.800000012,1,0.39999997615814209,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,59,105,1,7,BothEyes,60,8,0.24342386624268122,1.20000005,1,-0.40000009536743164,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,60,105,6,5,BothEyes,60,8,0.24342386624268122,0.400000006,1,1.199999988079071,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,61,105,4,8,BothEyes,60,8,0.24342386624268122,0.600000024,1,0.79999995231628418,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,62,105,7,5,BothEyes,60,8,0.24342386624268122,0.200000003,1,1.5999999940395355,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,63,105,4,2,BothEyes,60,8,0.24342386624268122,0.600000024,1,0.79999995231628418,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,64,105,5,4,BothEyes,60,8,0.24342386624268122,0.5,1,1,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,65,105,1,4,BothEyes,60,8,0.24342386624268122,1.20000005,1,-0.40000009536743164,0.600000024,1,10,UP,DOWN,0
pilot_td,checkerboard_pilot,2026-09-22T11:50:02.3787118Z,20260901,visual-space-l-tangent-normalized-cartesian-grid-v2,66,105,5,1,BothEyes,60,8,0.24342386624268122,0.5,1,1,0.600000024,1,10,UP,DOWN,0
